erroryaw	steer	speed
1.78	0.66665	0.66665
1.79	0.66665	0.66665
1.8	0.66665	0.66665
1.81	0.66665	0.66665
1.82	0.66665	0.66665
1.83	0.66665	0.66665
1.84	0.66665	0.66665
1.85	0.66665	0.66665
1.86	0.66665	0.66665
1.87	0.66665	0.66665
1.88	0.66665	0.66665
1.89	0.66665	0.66665
1.9	0.66665	0.66665
1.91	0.66665	0.66665
1.92	0.66665	0.66665
1.93	0.66665	0.66665
1.94	0.66665	0.66665
1.95	0.66665	0.66665
1.96	0.66665	0.66665
1.97	0.66665	0.66665
1.98	0.66665	0.66665
1.99	0.66665	0.66665
2	0.66665	0.66665
2.01	0.66665	0.66665
2.02	0.66665	0.66665
2.03	0.66665	0.66665
2.04	0.66665	0.66665
2.05	0.66665	0.66665
2.06	0.66665	0.66665
2.07	0.66665	0.66665
2.08	0.66665	0.66665
2.09	0.66665	0.66665
2.1	0.66665	0.66665
2.11	0.66665	0.66665
2.12	0.66665	0.66665
2.13	0.66665	0.66665
2.14	0.66665	0.66665
2.15	0.66665	0.66665
2.16	0.66665	0.66665
2.17	0.66665	0.66665
2.18	0.66665	0.66665
2.19	0.66665	0.66665
2.2	0.66665	0.66665
2.21	0.66665	0.66665
2.22	0.66665	0.66665
2.23	0.66665	0.66665
2.24	0.66665	0.66665
2.25	0.66665	0.66665
2.26	0.66665	0.66665
2.27	0.66665	0.66665
2.28	0.66665	0.66665
2.29	0.66665	0.66665
2.3	0.66665	0.66665
2.31	0.66665	0.66665
2.32	0.66665	0.66665
2.33	0.66665	0.66665
2.34	0.66665	0.66665
2.35	0.66665	0.66665
2.36	0.66665	0.66665
2.37	0.66665	0.66665
2.38	0.66665	0.66665
2.39	0.66665	0.66665
2.4	0.66665	0.66665
2.41	0.66665	0.66665
2.42	0.66665	0.66665
2.43	0.66665	0.66665
2.44	0.66665	0.66665
2.45	0.66665	0.66665
2.46	0.66665	0.66665
2.47	0.66665	0.66665
2.48	0.66665	0.66665
2.49	0.66665	0.66665
2.5	0.66665	0.66665
2.51	0.66665	0.66665
2.52	0.66665	0.66665
2.53	0.66665	0.66665
2.54	0.66665	0.66665
2.55	0.66665	0.66665
2.56	0.66665	0.66665
2.57	0.66665	0.66665
2.58	0.66665	0.66665
2.59	0.66665	0.66665
2.6	0.66665	0.66665
2.61	0.66665	0.66665
2.62	0.66665	0.66665
2.63	0.66665	0.66665
2.64	0.66665	0.66665
2.65	0.66665	0.66665
2.66	0.66665	0.66665
2.67	0.66665	0.66665
2.68	0.66665	0.66665
2.69	0.66665	0.66665
2.7	0.66665	0.66665
2.71	0.66665	0.66665
2.72	0.66665	0.66665
2.73	0.66665	0.66665
2.74	0.66665	0.66665
2.75	0.66665	0.66665
2.76	0.66665	0.66665
2.77	0.66665	0.66665
2.78	0.66665	0.66665
2.79	0.66665	0.66665
2.8	0.66665	0.66665
2.81	0.66665	0.66665
2.82	0.66665	0.66665
2.83	0.66665	0.66665
2.84	0.66665	0.66665
2.85	0.66665	0.66665
2.86	0.66665	0.66665
2.87	0.66665	0.66665
2.88	0.66665	0.66665
2.89	0.66665	0.66665
2.9	0.66665	0.66665
2.91	0.66665	0.66665
2.92	0.66665	0.66665
2.93	0.66665	0.66665
2.94	0.66665	0.66665
2.95	0.66665	0.66665
2.96	0.66665	0.66665
2.97	0.66665	0.66665
2.98	0.66665	0.66665
2.99	0.66665	0.66665
3	0.66665	0.66665
3.01	0.66665	0.66665
3.02	0.66665	0.66665
3.03	0.66665	0.66665
3.04	0.66665	0.66665
3.05	0.66665	0.66665
3.06	0.66665	0.66665
3.07	0.66665	0.66665
3.08	0.66665	0.66665
3.09	0.66665	0.66665
3.1	0.66665	0.66665
3.11	0.66665	0.66665
3.12	0.66665	0.66665
3.13	0.66665	0.66665
3.14	0.66665	0.66665
3.15	0.66665	0.66665
